19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0ACN_EANUPC_ATTR              |ZFLATF_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |PC_FILE   |D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |SAP_DEMO  |D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLAT2_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLAT3_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLAT3_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLAT4_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLATF_2ND|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLATF_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_NIELSEN_US        |ZFLATF_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,140,303 |         |         |
|  0ACN_EANUPC_TEXT              |PC_FILE   |D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |SAP_DEMO  |D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLAT2_SAP|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLAT3_LEG|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLAT3_SAP|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLAT4_LEG|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLATF_2ND|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLATF_LEG|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_EANUPC_TEXT              |ZFLATF_SAP|D      |0ACN_EANUPC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,041,025,102,035 |         |         |
|  0ACN_FACT_DATA                |PC_FILE   |D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
