21.04.2015                                                                                                                                                                                                                                           Dynamic List Display                                                                                                                                                                                                                                                  1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  DTA                                     |DTA_TYPE|   RECORDS_ALL|REQUESTS_ALL|RECORDS_QUALOK|REQUESTS_QUALOK|RECORDS_ROLLUP|REQUESTS_ROLLUP|RECORDS_COMPR|REQUESTS_COMPR| RECORDS_ACTIV|REQUESTS_ACTIV|  RECORDS_PROC|REQUESTS_PROC|RECORDS_ERROR|REQUESTS_ERROR|RECORDS_TECHOK|REQUESTS_TECHOK|    TS_DATA_CHANGED|    TS_QUAL_CHANGED|    TS_ROLL_CHANGED|    TS_COMP_CHANGED|   TS_ACTIV_CHANGED|    TS_PROC_CHANGED|    TS_TECH_CHANGED|   TS_ERROR_CHANGED|DM_PSA_ALL|DM_PSA_EXIST|LAST_REQUEST|    TS_LAST_REQUEST|
|  0ACTY_ELEMT_ATTR              P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,205,225 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0ACTY_ELEMT_TEXT              P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,313,231,814 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0AC_DOC_TYP_TEXT              P20CLNT023|DTASRC  |      796,443 |      1,487 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |      796,443 |         1,487 |20,150,421,010,309 |                 0 |                 0 |                 0 |                 0 |                 0 |20,150,421,010,309 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_ATTLP1$T                           |FLEX_T  |            0 |      1,607 |            0 |         1,607 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |         1,607 |20,150,421,030,336 |20,150,421,030,336 |                 0 |                 0 |                 0 |                 0 |20,150,421,030,336 |                 0 |        0 |          0 |  2,235,952 |20,150,421,030,327 |
|  0APO_LANE_ATTR                P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,131,531 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_LOCNO                              |FLEX_M  |        1,429 |      3,051 |        1,429 |         3,050 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |        1,429 |         3,050 |20,150,421,023,120 |20,150,421,023,120 |                 0 |                 0 |                 0 |                 0 |20,150,421,023,120 |                 0 |        0 |          0 |  2,235,896 |20,150,421,023,113 |
|  0APO_LOCNO$T                            |FLEX_T  |            0 |      2,467 |            0 |         2,467 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |         2,467 |20,150,421,030,106 |20,150,421,030,106 |                 0 |                 0 |                 0 |                 0 |20,150,421,030,106 |                 0 |        0 |          0 |  2,235,945 |20,150,421,030,053 |
|  0APO_LOCNO_ATTR               P2SCLNT023|DTASRC  |        4,100 |          5 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |         869 |            1 |        3,231 |             4 |20,120,204,175,825 |                 0 |                 0 |                 0 |                 0 |                 0 |20,120,204,175,825 |20,100,222,131,124 |        0 |          0 |          0 |                 0 |
|  0APO_LOCNO_TEXT               P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,131,531 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_LOCTYP_TEXT              P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,221,224,331 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_LPROD                              |FLEX_M  |      655,441 |      2,604 |      655,122 |         2,584 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |      655,122 |         2,584 |20,150,421,024,446 |20,150,421,024,446 |                 0 |                 0 |                 0 |                 0 |20,150,421,024,446 |                 0 |        0 |          0 |  2,235,905 |20,150,421,024,439 |
|  0APO_LPROD_ATTR               P2SCLNT023|DTASRC  |   13,040,305 |        116 |      279,968 |             1 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |   1,088,249 |            5 |   11,672,088 |           110 |20,140,507,025,411 |20,100,823,100,802 |                 0 |                 0 |                 0 |                 0 |20,140,507,025,411 |20,110,905,053,627 |        0 |          0 |          0 |                 0 |
|  0APO_PLNNR_ATTR               P2SCLNT023|DTASRC  |        1,168 |          8 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |        1,168 |             8 |20,140,525,123,022 |                 0 |                 0 |                 0 |                 0 |                 0 |20,140,525,123,022 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_PLNNR_TEXT               P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,613,004,201 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_PROD                               |FLEX_M  |      136,131 |      3,064 |      136,131 |         3,064 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |      136,131 |         3,064 |20,150,421,023,830 |20,150,421,023,830 |                 0 |                 0 |                 0 |                 0 |20,150,421,023,830 |                 0 |        0 |          0 |  2,235,895 |20,150,421,023,823 |
|  0APO_PROD$T                             |FLEX_T  |            0 |      2,470 |            0 |         2,470 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |         2,470 |20,150,421,030,341 |20,150,421,030,341 |                 0 |                 0 |                 0 |                 0 |20,150,421,030,341 |                 0 |        0 |          0 |  2,235,952 |20,150,421,030,327 |
|  0APO_PROD_ATTR                P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,132,412 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_PROD_TEXT                P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,131,938 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0APO_TRTYPE_TEXT              P2SCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,222,131,328 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BBP_ACCCAT_TEXT              P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,228,135,321 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BBP_C01                                |CUBE    |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,225,165,908 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BBP_CON                                |ODSO    |  123,187,160 |      7,477 |  123,187,160 |         7,477 |            0 |             0 |           0 |            0 |  123,187,160 |        7,477 |  123,187,160 |       7,477 |           0 |            0 |  123,187,160 |         7,477 |20,150,421,011,334 |20,150,421,005,126 |                 0 |                 0 |20,150,421,005,126 |20,150,421,011,334 |20,150,421,004,848 |                 0 |2,235,705 |          0 |  2,235,705 |20,150,421,004,836 |
|  0BBP_DS1                                |ODSO    |  125,365,796 |     11,452 |  125,365,796 |        11,452 |            0 |             0 |           0 |            0 |  125,365,796 |       11,452 |  125,365,796 |      11,452 |           0 |            0 |  125,365,796 |        11,452 |20,150,421,013,341 |20,150,421,012,552 |                 0 |                 0 |20,150,421,012,552 |20,150,421,013,341 |20,150,421,011,645 |                 0 |2,235,752 |          0 |  2,235,752 |20,150,421,011,630 |
|  0BBP_INV                                |ODSO    |   76,799,435 |      7,480 |   76,799,435 |         7,480 |            0 |             0 |           0 |            0 |   76,799,435 |        7,480 |   76,799,435 |       7,480 |           0 |            0 |   76,799,435 |         7,480 |20,150,421,011,637 |20,150,421,005,139 |                 0 |                 0 |20,150,421,005,139 |20,150,421,011,637 |20,150,421,004,856 |                 0 |2,235,705 |          0 |  2,235,705 |20,150,421,004,836 |
|  0BBP_PO                                 |ODSO    |  100,483,604 |      7,496 |  100,483,604 |         7,496 |            0 |             0 |           0 |            0 |  100,483,604 |        7,496 |  100,483,604 |       7,496 |           0 |            0 |  100,483,604 |         7,496 |20,150,421,010,146 |20,150,421,005,702 |                 0 |                 0 |20,150,421,005,702 |20,150,421,010,146 |20,150,421,004,903 |                 0 |2,235,705 |          0 |  2,235,705 |20,150,421,004,836 |
|  0BBP_STATUS_TEXT              ZFLATF_LEG|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,110,713,162,943 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BILBLK_DL_TEXT               P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,110,713,163,828 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BILL_TYPE_TEXT               P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,313,231,819 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BPARTNER                               |FLEX_M  |   20,512,394 |      4,773 |   17,620,766 |         4,771 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |   17,620,766 |         4,771 |20,150,421,072,427 |20,150,421,072,427 |                 0 |                 0 |                 0 |                 0 |20,150,421,072,427 |                 0 |        0 |          0 |  2,236,127 |20,150,421,072,415 |
|  0BPARTNER$T                             |FLEX_T  |    5,062,332 |      1,825 |    5,062,332 |         1,824 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |    5,062,332 |         1,824 |20,150,421,013,831 |20,150,421,013,831 |                 0 |                 0 |                 0 |                 0 |20,150,421,013,831 |                 0 |        0 |          0 |  2,235,784 |20,150,421,013,823 |
|  0BPARTNER_TEXT                P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,121,022,171,013 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BPARTNER_TEXT                P2CCLNT023|DTASRC  |    1,864,174 |        768 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |    1,864,174 |           768 |20,150,421,013,719 |                 0 |                 0 |                 0 |                 0 |                 0 |20,150,421,013,719 |                 0 |        0 |          0 |          0 |                 0 |
|  0BP_ACTIVIT                             |FLEX_M  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,130,326,102,043 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BP_DEF_ADDRESS_ATTR          P2CCLNT023|DTASRC  |    1,950,719 |        374 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |    1,950,719 |           374 |20,150,421,014,756 |                 0 |                 0 |                 0 |                 0 |                 0 |20,150,421,014,756 |                 0 |        0 |          0 |          0 |                 0 |
|  0BP_EMPLO                               |FLEX_M  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,140,624,122,143 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BUS_AREA_ATTR                P20CLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,100,313,231,819 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  0BWTC_C02                               |CUBE    |    7,689,356 |      2,162 |    7,689,356 |         2,162 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |    7,689,356 |         2,162 |20,100,604,090,413 |20,100,604,090,413 |                 0 |                 0 |                 0 |                 0 |20,100,604,090,413 |                 0 |        0 |          0 |    996,517 |20,100,604,090,308 |
|  0BWTC_C02                     P2WCLNT023|DTASRC  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,110,713,164,638 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
