21.04.2015                     Dynamic List Display                            1
--------------------------------------------------------------------------------
-----------------------------------------------------------------------
|  INFOCUBE     |OBJVERS|POSIT|PARTCUBE     |DELTAPROV|DELTAPAIRCLASNM|
|  0CCMWMHSD    |D      |    1|0CCMWIHSD    |         |               |
|  0CCMWMHSD    |D      |    2|0CCMWRHSD    |         |               |
|  0CCMWMHSD    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMMN     |D      |    1|0CCMWSMI     |         |               |
|  0CCMWMMN     |D      |    2|0CCMWRMN     |         |               |
|  0CCMWMMN     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMRC     |D      |    1|0CCMWIRC     |         |               |
|  0CCMWMRC     |D      |    2|0CCMWRRC     |         |               |
|  0CCMWMRC     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMRCD    |D      |    1|0CCMWIRCD    |         |               |
|  0CCMWMRCD    |D      |    2|0CCM_GSYS    |         |               |
|  0CCMWMRCD    |D      |    3|0CCMWRRCD    |         |               |
|  0CCMWMRS     |D      |    1|0CCMWIRS     |         |               |
|  0CCMWMRS     |D      |    2|0CCMWRRS     |         |               |
|  0CCMWMRS     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMRSD    |D      |    1|0CCMWIRSD    |         |               |
|  0CCMWMRSD    |D      |    2|0CCMWRRSD    |         |               |
|  0CCMWMRSD    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMSC     |D      |    1|0CCMWISC     |         |               |
|  0CCMWMSC     |D      |    2|0CCMWRSC     |         |               |
|  0CCMWMSC     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMSCD    |D      |    1|0CCMWISCD    |         |               |
|  0CCMWMSCD    |D      |    2|0CCMWRSCD    |         |               |
|  0CCMWMSCD    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMSPA    |D      |    1|0CCMWISPA    |         |               |
|  0CCMWMSPA    |D      |    2|0CCMWRSPA    |         |               |
|  0CCMWMSPA    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMSPO    |D      |    1|0CCMWISPO    |         |               |
|  0CCMWMSPO    |D      |    2|0CCMWRSPO    |         |               |
|  0CCMWMSPO    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMSS     |D      |    1|0CCMWISS     |         |               |
|  0CCMWMSS     |D      |    2|0CCM_GSYS    |         |               |
|  0CCMWMSS     |D      |    3|0CCMWRSS     |         |               |
|  0CCMWMSSD    |D      |    1|0CCMWISSD    |         |               |
|  0CCMWMSSD    |D      |    2|0CCM_GSYS    |         |               |
|  0CCMWMSSD    |D      |    3|0CCMWRSSD    |         |               |
|  0CCMWMTAB    |D      |    1|0CCMWITAB    |         |               |
|  0CCMWMTAB    |D      |    2|0CCMWRTAB    |         |               |
|  0CCMWMTAB    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMVMC    |D      |    1|0CCMWIVMC    |         |               |
|  0CCMWMVMC    |D      |    2|0CCMWRVMC    |         |               |
|  0CCMWMVMC    |D      |    3|0CCM_GSYS    |         |               |
|  0CDM_MC0     |D      |    1|0CDM_C0      |         |               |
|  0CDM_MC0     |D      |    2|0CDM_C2      |         |               |
|  0CDM_MP01    |D      |    1|0CDM_C0      |         |               |
|  0CDM_MP02    |D      |    1|0CDM_DS02    |         |               |
|  0CDM_MP03    |D      |    1|0CDM_C2      |         |               |
|  0CFM_MC1     |D      |    1|0CFM_C01     |         |               |
|  0CFM_MC1     |D      |    2|0CFM_C03     |         |               |
|  0CFM_MC1     |D      |    3|0CFM_C05     |         |               |
|  0CFM_MC2     |D      |    1|0CFM_C10     |         |               |
|  0CFM_MC2     |D      |    2|0CFM_C11     |         |               |
|  0CFO_MC01    |D      |    1|0CFO_C01     |         |               |
|  0CIC_MP01    |D      |    1|0CRM_CTI1    |         |               |
|  0CIC_MP02    |D      |    1|0CRM_CTI2    |         |               |
|  0CIC_MP03    |D      |    1|0CIC_C01     |         |               |
|  0CIC_MP45    |D      |    1|0CIC_C45     |         |               |
|  0CLC_M1      |D      |    1|0ACCESSTP    |         |               |
|  0CLC_M1      |D      |    2|0CLC_C1      |         |               |
|  0CLC_M1      |D      |    3|0CLC_R1      |         |               |
|  0CLM_MC1     |D      |    1|0CLM_C01     |         |               |
|  0CLM_MC2     |D      |    1|0CLM_C02     |         |               |
|  0CMCPMP01    |D      |    1|0CMCP_C02    |         |               |
|  0CMCPMP02    |D      |    1|0CMCP_C03    |         |               |
|  0CMCP_C13    |D      |    1|0CMCP_C03    |         |               |
|  0CMCP_C13    |D      |    2|0CMCP_C05    |         |               |
|  0CMCP_C15    |D      |    1|0CMCP_C03    |         |               |
|  0CMCP_C15    |D      |    2|0CMCP_C06    |         |               |
|  0CMCP_C16    |D      |    1|0CMCP_C05    |         |               |
|  0CMCP_C16    |D      |    2|0CMCP_C07    |         |               |
|  0CMCP_C17    |D      |    1|0CMCP_C02    |         |               |
|  0CMCP_C17    |D      |    2|0CMCP_C09    |         |               |
|  0CMCP_C18    |D      |    1|0CMCP_C01    |         |               |
|  0CMCP_C18    |D      |    2|0CMCP_C08    |         |               |
|  0CMCP_C19    |D      |    1|0CMCP_C04    |         |               |
|  0CMCP_C19    |D      |    2|0CMCP_C10    |         |               |
|  0CM_C13      |D      |    1|0CM_C03      |         |               |
|  0CM_C13      |D      |    2|0CM_C05      |         |               |
|  0CM_C14      |D      |    1|0CM_C07      |         |               |
|  0CM_C14      |D      |    2|0CM_C08      |         |               |
|  0CM_C15      |D      |    1|0CM_C07      |         |               |
|  0CM_C15      |D      |    2|0CM_C10      |         |               |
|  0CM_C16      |D      |    1|0CM_C06      |         |               |
|  0CM_C16      |D      |    2|0CM_C12      |         |               |
|  0CM_C17      |D      |    1|0CM_C07      |         |               |
|  0CM_C17      |D      |    2|0CM_C11      |         |               |
|  0COPAMP01    |D      |    1|0COPA_C02    |         |               |
|  0COPA_M10    |D      |    1|0COPA_C10    |         |               |
|  0COPA_M10    |D      |    2|0COPA_R10    |         |               |
|  0COPA_M10    |D      |    3|0ACCESSTP    |         |               |
|  0CPH_ALL     |D      |    1|0CPH_15M     |         |               |
|  0CPH_ALL     |D      |    2|0CPH_DAY     |         |               |
|  0CPH_ALL     |D      |    3|0CPH_HOUR    |         |               |
|  0CPH_ALL     |D      |    4|0CPH_MIN     |         |               |
|  0CPH_ALL     |D      |    5|0CPH_ONLN    |         |               |
|  0CPH_NALL    |D      |    1|0CPH_15M     |         |               |
|  0CPH_NALL    |D      |    2|0CPH_DAY     |         |               |
|  0CPH_NALL    |D      |    3|0CPH_HOUR    |         |               |
|  0CPH_NALL    |D      |    4|0CPH_MIN     |         |               |
|  0CPH_NALL    |D      |    5|0CPH_VRKF    |         |               |
|  0CPH_NALL    |D      |    6|0CPH_MIMA    |         |               |
|  0CPH_NALL    |D      |    7|0CCMAVOBJ    |         |               |
|  0CPH_NALL    |D      |    8|0CPH_TSEL    |         |               |
|  0CPH_NALL    |D      |    9|0CPH_SSEL    |         |               |
|  0CPR_C04     |D      |    1|0CPR_C01     |         |               |
|  0CPR_C04     |D      |    2|0CPR_C02     |         |               |
|  0CP_MP03     |D      |    1|0CP_SLSC3    |         |               |
|  0CP_MP04     |D      |    1|0CP_SLSC1    |         |               |
|  0CP_MP04     |D      |    2|0SD_C11      |         |               |
|  0CP_MP05     |D      |    1|0SD_C11      |         |               |
|  0CP_MP05     |D      |    2|0SD_C03      |         |               |
|  0CP_SLSM1    |D      |    1|0CP_SLSCA    |         |               |
|  0CP_SLSM2    |D      |    1|0CP_SLSCB    |         |               |
|  0CRMAMC01    |D      |    1|0CRMADS01    |         |               |
|  0CRMAMC01    |D      |    2|0CRMACC01    |         |               |
|  0CRMCMC01    |D      |    1|0CRMCDS01    |         |               |
|  0CRMCMC01    |D      |    2|0CRMCCC01    |         |               |
|  0CRMTMC01    |D      |    1|0CRMTDS01    |         |               |
|  0CRMTMC01    |D      |    2|0CRMTCC01    |         |               |
|  0CRM_MC03    |D      |    1|0COPA_C01    |         |               |
|  0CRM_MC04    |D      |    1|0CRM_C01     |         |               |
|  0CRM_MC04    |D      |    2|0PS_C04      |         |               |
|  0CRM_MC04    |D      |    3|0CSAL_C01    |         |               |
|  0CRM_MC06    |D      |    1|0CRM_MKTELM  |         |               |
|  0CRM_MC06    |D      |    2|0CRM_C01     |         |               |
|  0CRM_MC06    |D      |    3|0CRM_C06     |         |               |
|  0CRM_MC06    |D      |    4|0CRM_C07     |         |               |
|  0CRM_MC06    |D      |    5|0MKTG_C04    |         |               |
|  0CRM_MC06    |D      |    6|0CRM_C04     |         |               |
|  0CRM_MC06    |D      |    7|0MKTG_C01    |         |               |
|  0CRM_MC07    |D      |    1|0CRM_MKTELM  |         |               |
|  0CRM_MC07    |D      |    2|0CRM_C06     |         |               |
|  0CRM_MC07    |D      |    3|0CRM_C07     |         |               |
|  0CRM_MC07    |D      |    4|0CRM_C04     |         |               |
|  0CRM_MC07    |D      |    5|0MKTG_C01    |         |               |
|  0CRM_MC11    |D      |    1|0CRM_WFM3    |         |               |
|  0CRM_MC11    |D      |    2|0CRM_WFM4    |         |               |
|  0CRM_MC12    |D      |    1|0CRM_WFM3    |         |               |
|  0CRM_MC12    |D      |    2|0CRM_WFM4    |         |               |
|  0CRM_MC12    |D      |    3|0CRM_WFM5    |         |               |
|  0CRM_MC21    |D      |    1|0CRM_WFM3    |         |               |
|  0CRM_MC21    |D      |    2|0CRM_WFM4    |         |               |
|  0CRM_MC21    |D      |    3|0CRM_WFM5    |         |               |
|  0CSALMC01    |D      |    1|0CRM_C04     |         |               |
|  0CSALMC01    |D      |    2|0CSAL_C01    |         |               |
|  0CSALMC01    |D      |    3|0CSAL_C03    |         |               |
|  0CSALMC02    |D      |    1|0CRM_C04     |         |               |
|  0CSALMC02    |D      |    2|0CSAL_C03    |         |               |
|  0CSALMC02    |D      |    3|0MKTG_C01    |         |               |
|  0CSALMC02    |D      |    4|0CSAL_C05    |         |               |
|  0CSALMC02    |D      |    5|0CSAL_C04    |         |               |
|  0CSALMC02    |D      |    6|0CSAL_C09    |         |               |
|  0CSALMC02    |D      |    7|0CSAL_C06    |         |               |
|  0CSALMC02    |D      |    8|0CSAL_C10    |         |               |
|  0CSALMC02    |D      |    9|0CSAL_C07    |         |               |
|  0CSALMC03    |D      |    1|0CSAL_C03    |         |               |
|  0CSALMC03    |D      |    2|0CSAL_C04    |         |               |
|  0CSALMC03    |D      |    3|0CSAL_C09    |         |               |
|  0CSALMC03    |D      |    4|0CRM_PRI     |         |               |
|  0CSALMC04    |D      |    1|0CRM_QUTO    |         |               |
|  0CSALMC04    |D      |    2|0SAL_DS01    |         |               |
|  0CSALMP05    |D      |    1|0CSAL_C03    |         |               |
|  0CSALMP06    |D      |    1|0CRM_OPPH    |         |               |
|  0CSALMP07    |D      |    1|0CRM_C04     |         |               |
|  0CSALMP08    |D      |    1|0CSAL_C09    |         |               |
|  0CSALMP09    |D      |    1|0CSAL_C02    |         |               |
|  0CSALMP09    |D      |    2|0CSAL_C03    |         |               |
|  0CSALMP09    |D      |    3|0MKTG_C04    |         |               |
|  0CSRVMC01    |D      |    1|0CSRV_C01    |         |               |
|  0CSRVMC01    |D      |    2|0CSRV_C02    |         |               |
|  0CSRVMC02    |D      |    1|0CRM_PRI     |         |               |
|  0CSRVMC02    |D      |    2|0CSAL_C07    |         |               |
|  0CSRVMC03    |D      |    1|0CSRV_C01    |         |               |
|  0CSRVMC03    |D      |    2|0CSAL_C09    |         |               |
|  0CSRVMC03    |D      |    3|0CSRV_C02    |         |               |
|  0CSRVMC04    |D      |    1|0CRM_PRI     |         |               |
|  0CSRVMC04    |D      |    2|0CSAL_C09    |         |               |
|  0CSRVMC05    |D      |    1|0CRM_PRI     |         |               |
|  0CSRVMC05    |D      |    2|0CSAL_C07    |         |               |
|  0CSRVMC05    |D      |    3|0CSRV_C01    |         |               |
|  0CSRVMC05    |D      |    4|0CSRV_C02    |         |               |
