19.04.2015                                                                                                                                                          Dynamic List Display                                                                                                                                                                 1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  INFOSPOKE              |OBJVERS|APPLNM                   |OHDEST   |OHSOURCE   |OHSRCTYPE|UPDMODE|MAXSIZE|BCTCOMP|STRUCTURE1                    |STRUCTURE2                 |IMP_NAME            |DREQSER|BTCSRVNAME|DIALOGTASK|OBJSTAT|CONTREL|CONTTIMESTMP|OWNER|BWAPPL|ACTIVFL|TSTPNM|           TIMESTMP|TXTSH               |TXTLG               |
|  Z_0FIAP_O03_K001D      |A      |0FIAP                    |DW03429D |0FIAP_O03  |ODSO_D   |D      |  10000|       |/BIC/CYZ_0FIAP_O03_K001D      |/BIC/CZZ_0FIAP_O03_K001D   |ZZ_0FIAP_O03_K001D  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,209,170,945 |A/P ODS Extract Delt|A/P ODS Extract Delt|
|  Z_0FIAP_O03_K001D      |M      |0FIAP                    |DW03429D |0FIAP_O03  |ODSO_D   |D      |  10000|       |/BIC/CYZ_0FIAP_O03_K001D      |/BIC/CZZ_0FIAP_O03_K001D   |ZZ_0FIAP_O03_K001D  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,209,170,928 |A/P ODS Extract Delt|A/P ODS Extract Delt|
|  Z_0FIAP_O03_K001F      |A      |0FIAP                    |DW03429F |0FIAP_O03  |ODSO     |F      |  10000|       |/BIC/CYZ_0FIAP_O03_K001F      |/BIC/CZZ_0FIAP_O03_K001F   |ZZ_0FIAP_O03_K001F  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,727,160,254 |A/P ODS Extract Full|A/P ODS Extract Full|
|  Z_0FIAP_O03_K001F      |M      |0FIAP                    |DW03429F |0FIAP_O03  |ODSO     |F      |  10000|       |/BIC/CYZ_0FIAP_O03_K001F      |/BIC/CZZ_0FIAP_O03_K001F   |ZZ_0FIAP_O03_K001F  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,727,160,233 |A/P ODS Extract Full|A/P ODS Extract Full|
|  Z_0MATERIAL_K001       |A      |LO-IO                    |DW03502  |0MATERIAL  |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0MATERIAL_K001       |/BIC/CZZ_0MATERIAL_K001    |ZZ_0MATERIAL_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,605 |MD 0MATERIAL Attr.  |MD 0MATERIAL Attr.  |
|  Z_0MATERIAL_K001       |M      |LO-IO                    |DW03502  |0MATERIAL  |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0MATERIAL_K001       |/BIC/CZZ_0MATERIAL_K001    |ZZ_0MATERIAL_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,539 |MD 0MATERIAL Attr.  |MD 0MATERIAL Attr.  |
|  Z_0MATERIAL_K002       |A      |LO-IO                    |DW03556  |0MATERIAL  |IOBJ_T   |F      |  50000|       |/BIC/CYZ_0MATERIAL_K002       |/BIC/CZZ_0MATERIAL_K002    |ZZ_0MATERIAL_K002   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,605 |MD 0MATERIAL Text   |MD 0MATERIAL Text   |
|  Z_0MATERIAL_K002       |M      |LO-IO                    |DW03556  |0MATERIAL  |IOBJ_T   |F      |  50000|       |/BIC/CYZ_0MATERIAL_K002       |/BIC/CZZ_0MATERIAL_K002    |ZZ_0MATERIAL_K002   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,541 |MD 0MATERIAL Text   |MD 0MATERIAL Text   |
|  Z_0MAT_PLANT_K001      |A      |LO-IO                    |DW03601  |0MAT_PLANT |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0MAT_PLANT_K001      |/BIC/CZZ_0MAT_PLANT_K001   |ZZ_0MAT_PLANT_K001  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,606 |MD Mat Plant Attr   |MD Mat Plant Attr   |
|  Z_0MAT_PLANT_K001      |M      |LO-IO                    |DW03601  |0MAT_PLANT |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0MAT_PLANT_K001      |/BIC/CZZ_0MAT_PLANT_K001   |ZZ_0MAT_PLANT_K001  |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,541 |MD Mat Plant Attr   |MD Mat Plant Attr   |
