19.04.2015                                                                                                                                                                                                                                                                                      Dynamic List Display                                                                                                                                                                                                                                                                                              1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  TRANID                          |OBJVERS|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|TSTPNM  |           TIMESTMP|SOURCETYPE|SOURCESUBTYPE|SOURCENAME                              |TARGETTYPE|TARGETSUBTYPE|TARGETNAME                |STARTROUTINE             |ENDROUTINE               |EXPERT                   |GLBCODE                  |TRANPROG                 |VERSION_CUR|TARGET_TAB_TYPE|IS_SHADOW|SHADOW_TRANID                   |GLBCODE2                 |ALL_FIELDS|ORGTRANID                       |TXTSH|TXTMD|TXTLG                                                       |
|  005IFYHR27HKGX61CQ75F5G782OQUA20|D      |INA    |7.0/03 |20,070,402,131,140 |SAP     |      |       |SAP     |20,070,402,131,140 |RSDS      |             |0RT_PA_TRAN_TOTALS            P2SCLNT023|TRCS      |             |0RT_PA_TRAN_TOTALS_TR     |4OQKXY6EHBAKJ6BWKSM8GEBE5|                         |                         |4OQKXYE309WA1SVCQMOKQGA3X|                         |         0 |               |         |09EIIKU5T4ORTO30XIHBPHQM4KN5QL3B|4OQKXYLRJ8HZKFESWGQX0I8TP|          |09EIIKU5T4ORTO30XIHBPHQM4KN5QL3B|     |     |RSDS 0RT_PA_TRAN_TOTALS B73CLNT000 -> TRCS 0RT_PA_TRAN_TOTAL|
|  005P7CD4LCWIW3GZEU7Z0M1EKBTC7OBN|A      |ACT    |       |                 0 |10011549|      |X      |DDIC    |20,130,420,225,410 |IOBJ      |ATTR         |ZMATCLASS                               |IOBJ      |ATTR         |0MATERIAL                 |                         |                         |                         |                         |4LOCDBT9E2A6TDJLFT78ZB50Z|         0 |               |         |                                |                         |          |005P7CD4LCWIW3GZEU7Z0M1EKBTC7OBN|     |     |                                                            |
|  005P7CD4LCWIW3GZEU7Z0M1EKBTC7OBN|M      |ACT    |       |                 0 |10011549|      |X      |10131153|20,130,416,203,259 |IOBJ      |ATTR         |ZMATCLASS                               |IOBJ      |ATTR         |0MATERIAL                 |                         |                         |                         |                         |4LOCDBT9E2A6TDJLFT78ZB50Z|         0 |               |         |                                |                         |          |005P7CD4LCWIW3GZEU7Z0M1EKBTC7OBN|     |     |                                                            |
|  005PXUMMRAV9FJIKKEOQ2JZXMHMLV4XQ|D      |INA    |7.0/04 |20,090,422,080,317 |SAP     |      |       |SAP     |20,090,422,080,317 |RSDS      |             |0CCMS_WEBAS_STATREC_DATA      P2SCLNT023|ODSO      |             |0CCMWDVMC                 |                         |                         |4OQKWN8ILUMMPFH4X2B70E5V1|4OQKWNG74T8C820L2WDJAG4KT|                         |         0 |               |         |0OV4INAMML2L0DX66SWIMR6U69CICHCU|4OQKWNNVNRU1QOK18QFVKI3AL|          |0OV4INAMML2L0DX66SWIMR6U69CICHCU|     |     |                                                            |
|  00689SAKHOPMEJ9QE336MGRIMUADA5W7|D      |INA    |7.0/04 |20,080,427,090,135 |SAP     |      |X      |SAP     |20,080,427,090,135 |TRCS      |             |0FC_DUN_HEADER                          |ODSO      |             |0FC_DS08                  |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  0068FB52IC8ZGYD041DXNR1XZLULO1ME|D      |INA    |7.0/03 |20,071,210,055,333 |SAP     |      |       |SAP     |20,071,210,055,333 |RSDS      |             |0GAE_APL_AR                             |ODSO      |             |0GAE_APL                  |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  006DQLLSEFR0WFEVCDHD0R9I67B99EI9|D      |INA    |7.0/04 |20,080,715,062,927 |SAP     |      |X      |SAP     |20,080,715,062,927 |ODSO      |             |0ISCMDS02                               |IOBJ      |ATTR         |0ISSCLF1                  |4ABPPRCFHE8ZD09R01I1TW34N|                         |                         |49RBL6JUR03XZRDP1ANDC8TSO|                         |         0 |               |         |                                |49RBL6RJ9YPNIDX574PPMASIG|          |                                |     |     |                                                            |
|  006R3SA9D2Q4V8QNATQ0UUHP81BZ0AOU|D      |INA    |7.0/03 |20,071,002,143,041 |SAP     |      |       |SAP     |20,071,002,143,041 |RSDS      |             |0XA_GLO_DIVST                 XSA010    |IOBJ      |TEXT         |0XADIVST                  |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  006RG3ZRXD38MARK5E78F9A28YQSK9RT|D      |INA    |7.0/03 |20,071,224,020,645 |SAP     |      |X      |SAP     |20,071,224,020,645 |RSDS      |             |0GAE_ATCH                     SAP_DEMO  |ODSO      |             |0GAE_ATCH                 |                         |                         |                         |4GWAEYW1Q5MT8UGEKCETKC94D|                         |         0 |               |         |0HTGB1C4QWPBNVKY61FKZVNRNQ8GHM88|4GWAEZ3Q948IRGZUQ6H5UE7U5|          |0HTGB1C4QWPBNVKY61FKZVNRNQ8GHM88|     |     |                                                            |
|  006VVMWFN829HOSWFYQRVUN8X89G5EQQ|D      |INA    |7.0/04 |20,080,521,175,155 |SAP     |      |X      |SAP     |20,080,521,175,155 |ODSO      |             |0EIC_DS01                               |CUBE      |             |0EIC_C01                  |                         |                         |                         |4BLXM4A5RWM0YT5YQI9UQJ775|                         |         0 |               |         |                                |4DQNRG8R5ACP3ZCIY5ZDKUUCX|          |                                |     |     |                                                            |
